jabko_url,jabko_name,jabko_price_uah,mygadget_url,mygadget_name,mygadget_price_uah
https://jabko.ua/iphone/apple-iphone-16-plus/apple-iphone-16-plus-256gb-white-e-sim,Apple iPhone 16 Plus 256GB (White) (e-Sim),41899,,Apple iPhone 16 Plus 256GB White eSim,
https://jabko.ua/iphone/apple-iphone-16-plus/apple-iphone-16-plus-512gb-black-e-sim,Apple iPhone 16 Plus 512GB (Black) (e-Sim),50099,,Apple iPhone 16 Plus 512GB Black eSim,
https://jabko.ua/iphone/apple-iphone-16-plus/apple-iphone-16-plus-512gb-pink-e-sim,Apple iPhone 16 Plus 512GB (Pink) (e-Sim),54299,,Apple iPhone 16 Plus 512GB Pink eSim,
https://jabko.ua/iphone/apple-iphone-16-plus/apple-iphone-16-plus-512gb-teal-e-sim,Apple iPhone 16 Plus 512GB (Teal) (e-Sim),52999,,Apple iPhone 16 Plus 512GB Teal eSim,
https://jabko.ua/iphone/apple-iphone-16-plus/apple-iphone-16-plus-512gb-ultramarine-e-sim,Apple iPhone 16 Plus 512GB (Ultramarine) (e-Sim),49499,,Apple iPhone 16 Plus 512GB Ultramarine eSim,
https://jabko.ua/iphone/apple-iphone-16-plus/apple-iphone-16-plus-512gb-white-e-sim,Apple iPhone 16 Plus 512GB (White) (e-Sim),52999,,Apple iPhone 16 Plus 512GB White eSim,
https://jabko.ua/iphone/apple-iphone-16e/apple-iphone-16e-128gb-black,Apple iPhone 16e 128GB (Black),26299,https://mygadget.ua/iphones/iphone-16e/apple-iphone-16e-128gb-black,Apple iPhone 16e 128Gb Black (MD1Q4),26289
https://jabko.ua/iphone/apple-iphone-16e/apple-iphone-16e-128gb-white,Apple iPhone 16e 128GB (White),25999,https://mygadget.ua/iphones/iphone-16e/apple-iphone-16e-128gb-white,Apple iPhone 16e 128Gb White (MD1R4),25989
https://jabko.ua/iphone/apple-iphone-16e/apple-iphone-16e-256gb-black,Apple iPhone 16e 256GB (Black),39399,https://mygadget.ua/iphones/iphone-16e/apple-iphone-16e-256gb-black,Apple iPhone 16e 256Gb Black (MD1T4),39389
https://jabko.ua/iphone/apple-iphone-16e/apple-iphone-16e-256gb-white,Apple iPhone 16e 256GB (White),35199,https://mygadget.ua/iphones/iphone-16e/apple-iphone-16e-256gb-white,Apple iPhone 16e 256Gb White (MD1W4),35189
https://jabko.ua/iphone/apple-iphone-16e/apple-iphone-16e-512gb-black,Apple iPhone 16e 512GB (Black),39499,https://mygadget.ua/iphones/iphone-16e/apple-iphone-16e-512gb-black,Apple iPhone 16e 512Gb Black (MD1X4),39489
https://jabko.ua/iphone/apple-iphone-16e/apple-iphone-16e-512gb-white,Apple iPhone 16e 512GB (White),41399,https://mygadget.ua/iphones/iphone-16e/apple-iphone-16e-512gb-white,Apple iPhone 16e 512Gb White (MD274),41389
https://jabko.ua/product/apple-iphone-17-256gb-black,Apple iPhone 17 256GB (Black),41699,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-black,Apple iPhone 17 256Gb Black (MG6J4),41599
https://jabko.ua/product/apple-iphone-17-256gb-white,Apple iPhone 17 256GB (White),41499,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-white,Apple iPhone 17 256Gb White (MG6K4),41399
https://jabko.ua/product/apple-iphone-17-256gb-green,Apple iPhone 17 256GB (Sage),42099,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-green,Apple iPhone 17 256Gb Sage (MG6N4),41999
https://jabko.ua/product/apple-iphone-17-256gb-purple,Apple iPhone 17 256GB (Lavender),41699,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-lavander,Apple iPhone 17 256Gb Lavander (MG6M4),41599
https://jabko.ua/product/apple-iphone-17-256gb-light-blue,Apple iPhone 17 256GB (Mist Blue),41399,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-mist-blue,Apple iPhone 17 256Gb Mist Blue (MG6L4),41299
https://jabko.ua/product/apple-iphone-17-512gb-black,Apple iPhone 17 512GB (Black),55099,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-black,Apple iPhone 17 512Gb Black (MG6P4),54999
https://jabko.ua/product/apple-iphone-17-512gb-white,Apple iPhone 17 512GB (White),54699,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-white,Apple iPhone 17 512Gb White (MG6Q4),54599
https://jabko.ua/product/apple-iphone-17-512gb-green,Apple iPhone 17 512GB (Sage),54699,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-green,Apple iPhone 17 512Gb Sage (MG6V4),54599
